played_at_utc,track_name,artist_name,ms_played,genre_bucket
2025-11-01T09:37:00Z,Rap Meri Jaan,KR$NA,200604,Mellow/Rock/Hip-Hop
2025-11-01T10:05:00Z,Mumbai 10,Divine,189595,Mellow/Rock/Hip-Hop
2025-11-01T13:14:00Z,Beautiful Creatures,Illenium,222475,EDM/Dance
2025-11-01T13:45:00Z,Rap Meri Jaan,KR$NA,232853,Mellow/Rock/Hip-Hop
2025-11-01T14:08:00Z,Holocene,Bon Iver,116868,Mellow/Rock/Hip-Hop
2025-11-01T15:51:00Z,Suno,Prabh Deep,91703,Mellow/Rock/Hip-Hop
2025-11-01T15:51:00Z,Losing It,Fisher,101390,EDM/Dance
2025-11-01T20:21:00Z,Everything In Its Right Place,Radiohead,162842,Mellow/Rock/Hip-Hop
2025-11-02T09:35:00Z,Never Sleep Alone,Kaskade,166854,EDM/Dance
2025-11-02T09:38:00Z,Fake Empire,The National,134862,Mellow/Rock/Hip-Hop
2025-11-02T10:24:00Z,Holocene,Bon Iver,162869,Mellow/Rock/Hip-Hop
2025-11-02T12:23:00Z,Mumbai 10,Divine,183132,Mellow/Rock/Hip-Hop
2025-11-02T12:29:00Z,Holocene,Bon Iver,189471,Mellow/Rock/Hip-Hop
2025-11-02T14:43:00Z,Rap Meri Jaan,KR$NA,175008,Mellow/Rock/Hip-Hop
2025-11-02T14:49:00Z,Weird Fishes/Arpeggi,Radiohead,165861,Mellow/Rock/Hip-Hop
2025-11-02T18:36:00Z,Sheikh Chilli,Raftaar,140407,Mellow/Rock/Hip-Hop
2025-11-03T08:55:00Z,Nude,Radiohead,118743,Mellow/Rock/Hip-Hop
2025-11-03T10:43:00Z,Weird Fishes/Arpeggi,Radiohead,230763,Mellow/Rock/Hip-Hop
2025-11-03T11:16:00Z,Suno,Prabh Deep,126603,Mellow/Rock/Hip-Hop
2025-11-03T15:47:00Z,Rap Meri Jaan,KR$NA,202311,Mellow/Rock/Hip-Hop
2025-11-03T17:13:00Z,Strobe,Deadmau5,220870,EDM/Dance
2025-11-03T17:25:00Z,Animals,Martin Garrix,160186,EDM/Dance
2025-11-03T18:14:00Z,Namastute,Seedhe Maut,126262,Mellow/Rock/Hip-Hop
2025-11-03T20:38:00Z,Line Of Sight,ODESZA,106653,EDM/Dance
2025-11-03T21:33:00Z,Sheikh Chilli,Raftaar,155906,Mellow/Rock/Hip-Hop
2025-11-04T07:38:00Z,Rap Meri Jaan,KR$NA,174975,Mellow/Rock/Hip-Hop
2025-11-04T09:05:00Z,Holocene,Bon Iver,217399,Mellow/Rock/Hip-Hop
2025-11-04T11:08:00Z,Rap Meri Jaan,KR$NA,214592,Mellow/Rock/Hip-Hop
2025-11-04T15:33:00Z,Everything In Its Right Place,Radiohead,200923,Mellow/Rock/Hip-Hop
2025-11-04T16:27:00Z,Nude,Radiohead,131460,Mellow/Rock/Hip-Hop
2025-11-04T16:53:00Z,Nude,Radiohead,223080,Mellow/Rock/Hip-Hop
2025-11-04T18:48:00Z,Everything In Its Right Place,Radiohead,132349,Mellow/Rock/Hip-Hop
2025-11-04T18:56:00Z,Nude,Radiohead,170612,Mellow/Rock/Hip-Hop
2025-11-04T23:48:00Z,Fake Empire,The National,136832,Mellow/Rock/Hip-Hop
2025-11-05T07:04:00Z,Holocene,Bon Iver,105433,Mellow/Rock/Hip-Hop
2025-11-05T07:37:00Z,Mumbai 10,Divine,235207,Mellow/Rock/Hip-Hop
2025-11-05T16:25:00Z,Holocene,Bon Iver,187889,Mellow/Rock/Hip-Hop
2025-11-05T21:07:00Z,Rap Meri Jaan,KR$NA,154986,Mellow/Rock/Hip-Hop
